NOVARTIS;0,45%
WALMART;0,43%
PHILIP MORRIS INTL;0,28%
WELLS FARGO & CO;0,26%
HONEYWELL INTERNATIONAL;0,25%
RAYTHEON TECHNOLOGIES;0,24%
LOCKHEED MARTIN CORP;0,24%
BRITISH AMERICAN TOBACCO;0,22%
BOEING CO;0,20%
ALTRIA GROUP;0,18%
BHP GROUP (AU);0,17%
ROYAL DUTCH SHELL A;0,16%
BAYER;0,16%
ROYAL DUTCH SHELL B;0,14%
GENERAL ELECTRIC CO;0,14%
NORTHROP GRUMMAN CORP;0,13%
L3HARRIS TECHNOLOGIES;0,11%
BARRICK GOLD CORP;0,11%
BHP GROUP (GB);0,10%
GENERAL DYNAMICS CORP;0,09%
AIRBUS;0,09%
SAFRAN;0,08%
VOLKSWAGEN VORZUG;0,07%
ALIMENTATION COUCHE B;0,07%
SEVEN & I HOLDINGS CO;0,06%
JAPAN TOBACCO;0,06%
ANGLO AMERICAN;0,06%
PPL CORP;0,05%
BAE SYSTEMS;0,05%
IMPERIAL BRANDS;0,04%
AMEREN CORPORATION;0,04%
AMCOR;0,04%
TELEDYNE TECHNOLOGIES;0,03%
SWEDISH MATCH;0,03%
LEIDOS HOLDINGS;0,03%
JACOBS ENGINEERING GROUP;0,03%
FREEPORT MCMORAN B;0,03%
EVERGY;0,03%
CELANESE CORP;0,03%
BOOZ ALLEN HAMILTON A;0,03%
ALLIANT ENERGY CORP;0,03%
THALES;0,02%
TEXTRON;0,02%
SOUTH 32 (AU);0,02%
ROLLS-ROYCE GROUP;0,02%
PORSCHE AUTOMOBIL VZG;0,02%
ORIGIN ENERGY;0,02%
NRG ENERGY;0,02%
MTU AERO ENGINES;0,02%
MITSUBISHI HEAVY IND;0,02%
MELROSE INDUSTRIES;0,02%
JARDINE MATHESON (USD);0,02%
HUNTINGTON INGALLS IND;0,02%
EASTMAN CHEMICAL CO;0,02%
AGL ENERGY;0,02%
AES CORP;0,02%
VOLKSWAGEN STAMM;0,01%
TOKYO ELECTRIC POWER CO;0,01%
SINGAPORE TECH ENGR;0,01%
LEONARDO;0,01%
LAWSON;0,01%
KAWASAKI HEAVY IND;0,01%
JARDINE STRATEGIC (USD);0,01%
HK ELECTRIC INVESTMENTS;0,01%
FLIR SYSTEMS;0,01%
FAMILYMART CO;0,01%
ELECTRIC POWER DEV;0,01%
ELBIT SYSTEMS;0,01%
DASSAULT AVIATION;0,01%
CHUGOKU ELECTRIC POWER;0,01%
CAE;0,01%
PATTINSON (WASHINGTON);0,00%
JARDINE CYCLE & CARRIAGE;0,00%
CIMIC GROUP;0,00%
